arquivo,cluster
data/C50/C50train\acq\1.txt,4
data/C50/C50train\acq\10.txt,4
data/C50/C50train\acq\100.txt,4
data/C50/C50train\acq\1000.txt,4
data/C50/C50train\acq\1001.txt,4
data/C50/C50train\acq\1002.txt,4
data/C50/C50train\acq\1003.txt,6
data/C50/C50train\acq\1004.txt,4
data/C50/C50train\acq\1005.txt,4
data/C50/C50train\acq\1006.txt,4
data/C50/C50train\acq\1007.txt,4
data/C50/C50train\acq\1008.txt,4
data/C50/C50train\acq\1009.txt,4
data/C50/C50train\acq\101.txt,4
data/C50/C50train\acq\1010.txt,4
data/C50/C50train\acq\1011.txt,4
data/C50/C50train\acq\1012.txt,4
data/C50/C50train\acq\1013.txt,6
data/C50/C50train\acq\1014.txt,2
data/C50/C50train\acq\1015.txt,6
data/C50/C50train\acq\1016.txt,4
data/C50/C50train\acq\1017.txt,4
data/C50/C50train\acq\1018.txt,4
data/C50/C50train\acq\1019.txt,6
data/C50/C50train\acq\102.txt,4
data/C50/C50train\acq\1020.txt,4
data/C50/C50train\acq\1021.txt,4
data/C50/C50train\acq\1022.txt,4
data/C50/C50train\acq\1023.txt,4
data/C50/C50train\acq\1024.txt,4
data/C50/C50train\acq\1025.txt,4
data/C50/C50train\acq\1026.txt,4
data/C50/C50train\acq\1027.txt,4
data/C50/C50train\acq\1028.txt,4
data/C50/C50train\acq\1029.txt,4
data/C50/C50train\acq\103.txt,4
data/C50/C50train\acq\1030.txt,2
data/C50/C50train\acq\1031.txt,4
data/C50/C50train\acq\1032.txt,4
data/C50/C50train\acq\1033.txt,4
data/C50/C50train\acq\1034.txt,4
data/C50/C50train\acq\1035.txt,4
data/C50/C50train\acq\1036.txt,4
data/C50/C50train\acq\1037.txt,4
data/C50/C50train\acq\1038.txt,4
data/C50/C50train\acq\1039.txt,4
data/C50/C50train\acq\104.txt,4
data/C50/C50train\acq\1040.txt,4
data/C50/C50train\acq\1041.txt,4
data/C50/C50train\acq\1042.txt,4
data/C50/C50train\acq\1043.txt,4
data/C50/C50train\acq\1044.txt,4
data/C50/C50train\acq\1045.txt,4
data/C50/C50train\acq\1046.txt,4
data/C50/C50train\acq\1047.txt,6
data/C50/C50train\acq\1048.txt,4
data/C50/C50train\acq\1049.txt,4
data/C50/C50train\acq\105.txt,4
data/C50/C50train\acq\1050.txt,4
data/C50/C50train\acq\1051.txt,4
data/C50/C50train\acq\1052.txt,4
data/C50/C50train\acq\1053.txt,4
data/C50/C50train\acq\1054.txt,6
data/C50/C50train\acq\1055.txt,6
data/C50/C50train\acq\1056.txt,4
data/C50/C50train\acq\1057.txt,4
data/C50/C50train\acq\1058.txt,4
data/C50/C50train\acq\1059.txt,4
data/C50/C50train\acq\106.txt,4
data/C50/C50train\acq\1060.txt,4
data/C50/C50train\acq\1061.txt,4
data/C50/C50train\acq\1062.txt,2
data/C50/C50train\acq\1063.txt,4
data/C50/C50train\acq\1064.txt,4
data/C50/C50train\acq\1065.txt,4
data/C50/C50train\acq\1066.txt,4
data/C50/C50train\acq\1067.txt,4
data/C50/C50train\acq\1068.txt,4
data/C50/C50train\acq\1069.txt,4
data/C50/C50train\acq\107.txt,4
data/C50/C50train\acq\1070.txt,2
data/C50/C50train\acq\1071.txt,4
data/C50/C50train\acq\1072.txt,4
data/C50/C50train\acq\1073.txt,4
data/C50/C50train\acq\1074.txt,2
data/C50/C50train\acq\1075.txt,2
data/C50/C50train\acq\1076.txt,2
data/C50/C50train\acq\1077.txt,4
data/C50/C50train\acq\1078.txt,2
data/C50/C50train\acq\1079.txt,2
data/C50/C50train\acq\108.txt,4
data/C50/C50train\acq\1080.txt,4
data/C50/C50train\acq\1081.txt,2
data/C50/C50train\acq\1082.txt,4
data/C50/C50train\acq\1083.txt,4
data/C50/C50train\acq\1084.txt,4
data/C50/C50train\acq\1085.txt,4
data/C50/C50train\acq\1086.txt,4
data/C50/C50train\acq\1087.txt,4
data/C50/C50train\acq\1088.txt,4
data/C50/C50train\acq\1089.txt,4
data/C50/C50train\acq\109.txt,4
data/C50/C50train\acq\1090.txt,4
data/C50/C50train\acq\1091.txt,4
data/C50/C50train\acq\1092.txt,4
data/C50/C50train\acq\1093.txt,4
data/C50/C50train\acq\1094.txt,4
data/C50/C50train\acq\1095.txt,2
data/C50/C50train\acq\1096.txt,4
data/C50/C50train\acq\1097.txt,4
